사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-01,2호선,24,강변(동서울터미널),6,0,"6,507","1,522","20,746","12,651","62,162","17,119","82,739","33,761","55,500","28,013","35,773","26,116","34,518","25,392","36,069","28,671","35,391","31,506","35,384","33,395","35,252","39,192","35,507","43,717","39,405","57,550","45,123","87,744","32,220","64,331","24,895","41,097","21,116","45,213","8,647","16,940","2,738","6,600",7,226,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,25,잠실나루,5,0,"2,284","1,202","8,318","8,332","28,888","17,761","36,184","29,972","21,729","19,307","16,329","13,921","15,858","11,593","15,662","14,882","15,146","15,430","16,788","13,007","17,861","12,620","21,261","13,169","25,118","17,947","23,791","31,227","10,945","24,442","8,481","14,381","6,849","18,415","3,332","7,291",946,"3,286",3,119,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,26,잠실(송파구청),80,8,"9,203","3,516","35,087","32,593","88,048","57,128","125,062","128,844","89,027","102,613","55,756","61,956","53,690","61,822","59,302","63,221","66,040","68,381","69,231","73,420","76,529","76,445","92,381","84,781","121,767","108,917","151,010","155,726","96,739","109,257","105,437","69,629","82,820","83,635","25,918","29,360","5,553","12,087",16,395,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,27,잠실새내,8,1,"3,138",815,"12,120","6,711","41,020","13,284","55,616","22,777","33,742","24,205","20,540","18,223","19,460","18,908","22,032","21,217","23,305","23,822","21,974","24,235","23,388","26,923","27,585","31,306","27,828","41,838","31,511","62,541","23,266","43,675","23,966","24,789","29,236","29,974","8,136","11,469","2,188","4,674",4,414,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,28,종합운동장,4,0,"1,241",748,"4,253","3,673","12,738","7,083","16,990","14,074","13,050","8,036","7,161","4,883","6,378","4,895","6,646","5,848","7,115","6,325","6,778","6,281","7,215","7,176","7,997","8,238","10,172","11,456","11,416","17,981","5,492","13,322","3,725","8,466","4,672","11,479","1,921","4,383",474,"1,856",3,179,1,1,0,2,0,0,2021-02-03 09:49:40
2021-01,2호선,29,삼성(무역센터),121,0,"3,637","4,276","5,395","30,018","11,858","101,072","15,965","255,575","15,575","175,480","16,247","71,261","23,205","49,704","28,470","44,924","36,225","50,856","45,684","44,369","58,856","40,072","73,902","35,609","142,313","36,123","227,196","38,660","120,362","21,491","104,334","11,783","84,363","13,282","21,730","4,397","4,351","2,178",1,952,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,30,선릉,30,1,"2,881","5,556","8,540","31,307","16,420","95,646","23,955","231,198","22,164","179,864","23,902","75,181","31,827","51,884","37,315","42,671","44,823","47,993","54,961","43,025","70,473","38,804","99,754","36,458","148,380","35,315","234,548","38,405","119,417","24,059","83,214","15,390","95,614","17,917","27,077","6,860","7,135","3,436",8,121,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,31,역삼,36,0,"2,930","6,797","7,065","39,130","11,073","105,499","19,280","267,827","18,175","218,403","17,670","82,553","23,486","47,845","29,523","42,686","34,465","47,106","42,617","41,421","57,015","35,452","78,171","32,417","153,897","34,113","232,035","36,284","120,772","24,297","76,207","16,103","78,781","17,978","27,040","7,635","7,045","3,606",8,41,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,32,강남,110,3,"5,034","10,478","13,743","40,055","29,652","120,313","46,525","260,062","37,172","253,781","37,419","121,344","51,439","85,029","65,397","81,066","74,938","96,581","86,107","91,218","111,104","84,557","125,759","83,160","190,350","93,494","278,385","107,650","177,478","60,270","159,575","31,438","189,419","34,814","43,747","13,090","11,496","6,586",10,90,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,33,교대(법원.검찰청),16,0,"1,831","6,304","10,190","22,249","18,684","43,921","27,004","132,412","21,432","114,162","20,350","57,466","24,357","41,539","27,771","37,404","32,984","43,811","39,325","40,027","44,520","36,371","50,526","35,547","81,945","40,261","122,747","47,092","56,682","29,898","47,941","17,716","56,347","20,865","14,777","7,216","4,504","3,666",12,54,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,34,서초,22,1,"1,077","4,015","5,922","16,061","10,989","35,680","18,161","98,628","17,441","70,628","13,348","29,020","15,706","18,992","16,001","16,007","19,093","19,280","22,593","17,534","28,163","15,678","31,681","15,386","55,588","16,515","85,208","16,865","35,468","11,841","25,187","8,279","25,887","9,859","9,722","3,500","2,471","1,585",4,17,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,35,방배,3,0,"2,120","2,803","7,776","12,777","17,787","23,548","25,560","59,160","20,090","40,045","13,888","17,914","13,843","13,443","15,147","14,621","18,110","16,517","17,759","16,278","19,383","16,337","25,724","17,591","35,334","22,857","55,232","30,687","23,585","22,462","17,724","14,899","19,974","19,435","6,417","6,969","2,076","3,313",1,39,0,1,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,36,사당,241,6,"10,062","2,787","20,452","23,575","56,743","31,462","80,653","52,433","56,143","39,065","34,321","30,985","31,567","31,577","35,449","33,583","37,127","35,496","36,995","36,945","38,010","44,770","42,071","59,181","53,076","78,640","71,777","112,363","47,610","79,285","48,165","48,828","53,571","60,327","15,943","23,811","4,948","10,872",24,730,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,37,낙성대(강감찬),59,15,"9,693","1,544","21,070","6,964","61,348","13,594","102,281","30,386","64,900","24,299","32,575","19,030","27,249","17,580","29,807","21,592","30,024","23,206","27,836","25,093","28,141","30,182","29,926","34,405","35,411","49,421","37,741","82,941","21,494","74,232","18,214","48,597","17,779","57,373","9,620","26,367","3,109","11,097",4,706,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,38,서울대입구(관악구청),"3,494",10,"24,038","2,018","34,462","10,730","99,513","22,507","150,221","49,643","95,946","48,221","49,820","38,708","44,674","36,173","48,491","39,914","51,073","44,312","49,709","47,128","51,595","54,399","56,225","62,790","61,200","85,583","68,282","143,792","42,141","122,115","41,907","72,811","45,317","87,115","17,231","39,436","5,752","17,177",3,"3,561",0,0,0,0,0,0,2021-02-03 09:49:39
2021-01,2호선,39,봉천,70,1,"12,888","1,158","23,325","5,641","64,508","8,378","100,646","21,105","57,687","15,808","30,200","15,207","24,646","16,144","25,683","18,602","26,739","20,663","23,844","23,357","23,328","29,801","23,042","32,903","23,867","44,946","26,663","74,508","15,271","64,516","13,525","40,823","13,194","48,751","5,615","20,508","2,014","9,073",3,129,0,0,0,1,0,0,2021-02-03 09:49:40
2021-01,2호선,40,신림,201,5,"32,431","3,151","62,867","16,058","169,189","26,855","259,505","50,025","152,632","42,542","76,710","35,268","64,159","37,026","66,910","44,722","66,805","51,857","61,260","59,453","60,235","74,671","63,885","88,559","67,801","124,562","68,317","211,632","44,074","187,718","46,143","116,451","45,473","142,690","18,634","66,030","6,179","29,890",6,236,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,41,신대방,70,3,"20,315","1,335","30,015","7,606","71,291","14,494","107,000","26,455","62,853","17,618","33,376","13,986","27,043","15,228","26,974","18,121","26,909","20,203","23,924","23,751","23,159","30,791","24,585","36,247","27,434","51,222","32,127","81,829","17,645","69,384","14,057","46,918","12,115","64,874","5,998","28,083","1,977","11,687",0,106,0,0,0,1,0,0,2021-02-03 09:49:40
2021-01,2호선,42,구로디지털단지,149,3,"31,848","4,770","45,017","21,267","111,142","69,658","154,198","211,123","92,286","127,296","51,478","48,906","45,411","38,770","48,793","40,228","51,787","45,958","49,036","47,016","50,311","55,875","60,112","61,801","105,315","90,648","186,197","136,745","93,693","110,343","61,018","69,837","55,066","89,145","19,572","38,694","5,003","16,148",4,148,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,43,대림(구로구청),278,4,"26,679","2,690","25,802","8,910","52,499","19,302","77,458","48,404","48,077","29,840","27,579","23,279","22,826","24,441","25,841","24,396","26,406","25,933","25,947","26,937","25,781","32,800","27,314","35,563","35,561","49,828","46,182","59,641","23,590","44,069","16,312","32,330","14,537","51,905","6,058","21,753","2,214","7,978",4,248,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,44,신도림,"2,984",27,"28,214","3,882","39,228","13,979","103,882","32,846","111,254","96,437","67,798","54,742","44,424","48,916","43,293","43,198","48,930","45,396","52,292","48,752","51,890","49,758","53,860","55,961","60,532","61,324","74,112","80,508","104,728","127,652","60,575","100,042","56,733","57,976","51,499","71,636","12,665","30,440","3,878","15,027",11,"3,057",0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,45,문래,13,0,"2,986","1,602","9,964","8,132","33,418","29,947","37,298","103,191","20,696","49,622","14,132","18,982","13,356","15,464","15,785","15,547","17,036","16,894","17,692","16,314","19,397","16,034","24,257","18,335","46,487","24,342","87,393","40,815","30,471","30,045","24,147","16,985","23,175","19,357","6,196","8,200","1,806","3,572",1,101,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,46,영등포구청,12,0,"4,385","2,330","10,381","11,899","31,770","30,943","38,069","105,793","22,833","47,759","17,381","23,178","18,433","19,031","20,055","19,587","21,577","22,020","23,041","21,279","25,362","20,790","28,820","22,512","45,290","27,760","91,649","43,179","33,147","30,065","26,573","17,361","25,677","21,451","7,801","9,168","2,686","4,495",2,202,0,0,0,1,0,0,2021-02-03 09:49:40
2021-01,2호선,47,당산,19,1,"4,792","2,138","13,516","9,641","35,071","21,563","42,891","64,173","25,738","31,172","16,216","15,874","15,537","14,023","17,031","15,344","17,639","16,789","17,103","17,379","17,593","18,963","20,736","22,882","30,118","32,747","49,418","54,310","21,964","37,766","18,626","24,476","20,165","30,772","7,108","11,361","2,284","5,877",2,227,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,48,합정,29,1,"5,598","2,176","13,091","11,440","34,216","27,302","44,823","73,663","28,586","61,655","19,558","33,315","20,170","30,479","23,608","33,047","27,337","37,041","29,146","35,081","31,849","35,247","36,819","40,281","53,698","50,875","86,716","71,123","55,491","47,868","49,632","25,439","58,644","28,488","17,877","13,034","5,557","6,395",2,317,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,49,홍대입구,193,1,"7,898","2,533","15,819","11,408","44,933","24,093","58,939","76,180","37,703","83,069","26,844","56,525","32,137","57,859","38,936","70,058","45,124","80,111","49,711","81,817","59,251","82,335","72,798","84,489","93,608","92,080","116,151","113,734","89,920","71,848","108,824","37,811","129,324","39,748","28,431","19,074","7,670","9,310",58,"1,312",0,0,0,0,0,0,2021-02-03 09:49:39
